cycle,order,round,model,tokenizer_sha256,contract,shape,input_bytes,batch,parent_elapsed_ns,candidate_elapsed_ns,total_bytes,ratio,log_ratio
0,ab,0,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,140-byte batch 1,140,1,22731809,22575060,2097200,1.0069434588435202,0.006919464040418273
0,ab,1,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,140-byte batch 1,140,1,20968389,20118990,2097200,1.0422187694312686,0.041351872763997335
0,ab,2,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,140-byte batch 1,140,1,20574150,19975510,2097200,1.0299686966690713,0.029528410196284965
0,ab,3,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,140-byte batch 1,140,1,20608750,19672910,2097200,1.0475699832917449,0.046473180407533565
0,ab,4,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,140-byte batch 1,140,1,23493040,19034070,2097200,1.2342625618167844,0.210473675797394
0,ab,5,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,140-byte batch 1,140,1,23534900,18510360,2097200,1.271444747698046,0.2401538505104208
0,ab,0,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,140-byte batch 32,140,32,23426590,20944660,2101120,1.1184994170351774,0.11198798074556668
0,ab,1,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,140-byte batch 32,140,32,21158879,18462370,2101120,1.1460543256364162,0.1363250217382853
0,ab,2,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,140-byte batch 32,140,32,20622799,19394540,2101120,1.0633301434321205,0.061405628217047085
0,ab,3,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,140-byte batch 32,140,32,19589090,19080210,2101120,1.0266705659948188,0.026321106357062238
0,ab,4,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,140-byte batch 32,140,32,18847169,18159130,2101120,1.0378894253193849,0.03718925240206923
0,ab,5,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,140-byte batch 32,140,32,20259430,17514319,2101120,1.1567352404623896,0.14560158923568448
0,ab,0,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,140-byte batch 512,140,512,12504160,10434260,2150400,1.1983753519655442,0.1809667661173226
0,ab,1,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,140-byte batch 512,140,512,12468700,10834010,2150400,1.150885037026918,0.140531243801631
0,ab,2,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,140-byte batch 512,140,512,11480010,10107870,2150400,1.1357496683277486,0.12729293362805594
0,ab,3,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,140-byte batch 512,140,512,12362610,10119580,2150400,1.2216524796483648,0.2002044337640836
0,ab,4,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,140-byte batch 512,140,512,10744610,9945990,2150400,1.0802956769512135,0.07723477862143138
0,ab,5,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,140-byte batch 512,140,512,12064590,9976460,2150400,1.2093057056310554,0.1900463979250239
0,ab,0,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,4 KiB single,4096,1,19262610,14659709,2097152,1.3139831083959443,0.2730630648777702
0,ab,1,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,4 KiB single,4096,1,16453689,15913309,2097152,1.0339577393991406,0.03339390426370434
0,ab,2,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,4 KiB single,4096,1,15393100,15283639,2097152,1.0071619723548821,0.007136447231898219
0,ab,3,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,4 KiB single,4096,1,16235700,16086440,2097152,1.0092786222433303,0.009235840262903045
0,ab,4,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,4 KiB single,4096,1,15703100,14709890,2097152,1.0675198794824434,0.06533808841323575
0,ab,5,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,4 KiB single,4096,1,15726240,14984820,2097152,1.0494780718086705,0.048292966119030965
0,ab,0,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,64 KiB single,65536,1,19563510,16925410,2097152,1.1558662389862344,0.14485005333572143
0,ab,1,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,64 KiB single,65536,1,16474390,14576800,2097152,1.1301787772350584,0.12237583015290569
0,ab,2,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,64 KiB single,65536,1,14471790,13537110,2097152,1.0690457564428448,0.06676643416041565
0,ab,3,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,64 KiB single,65536,1,14931830,14050490,2097152,1.0627266380033722,0.06083790542598367
0,ab,4,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,64 KiB single,65536,1,14518800,13809909,2097152,1.0513320543965932,0.0500579833817559
0,ab,5,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,64 KiB single,65536,1,14778079,13193280,2097152,1.1201216831599117,0.11343732508398145
0,ab,0,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,140-byte batch 1,140,1,22978730,22551050,2097200,1.0189649705889525,0.018787377387642343
0,ab,1,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,140-byte batch 1,140,1,20921790,20104230,2097200,1.0406660687825398,0.03986095890466427
0,ab,2,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,140-byte batch 1,140,1,21850019,20574690,2097200,1.0619853324643045,0.06014011148548639
0,ab,3,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,140-byte batch 1,140,1,19837960,20077119,2097200,0.9880879821452471,-0.01198353444475363
0,ab,4,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,140-byte batch 1,140,1,20829820,19077190,2097200,1.0918704484255806,0.08789223331187941
0,ab,5,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,140-byte batch 1,140,1,20444920,19273650,2097200,1.0607705338635909,0.058995562785753214
0,ab,0,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,140-byte batch 32,140,32,23865810,23376710,2101120,1.0209225335815006,0.020706663220279687
0,ab,1,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,140-byte batch 32,140,32,28715609,21388030,2101120,1.3426018665580701,0.2946094227778192
0,ab,2,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,140-byte batch 32,140,32,21021070,21438920,2101120,0.9805097458267488,-0.019682693745211824
0,ab,3,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,140-byte batch 32,140,32,22193900,20548930,2101120,1.080051370071337,0.07700860488582284
0,ab,4,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,140-byte batch 32,140,32,20539300,19726319,2101120,1.0412130109018312,0.040386390124192685
0,ab,5,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,140-byte batch 32,140,32,23933729,19982590,2101120,1.1977290731581842,0.18042732483399979
0,ab,0,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,140-byte batch 512,140,512,16120780,13924770,2150400,1.157705297825386,0.1464398543833542
0,ab,1,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,140-byte batch 512,140,512,14169940,13307200,2150400,1.064832571840808,0.06281757726352617
0,ab,2,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,140-byte batch 512,140,512,14492850,12925320,2150400,1.1212759142520263,0.11446724605425054
0,ab,3,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,140-byte batch 512,140,512,13861559,12752390,2150400,1.0869773430705931,0.0834007643805301
0,ab,4,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,140-byte batch 512,140,512,13216210,15266489,2150400,0.8657006859926994,-0.14421605834683884
0,ab,5,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,140-byte batch 512,140,512,14083270,11807660,2150400,1.1927231983305753,0.17623909467792132
0,ab,0,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,4 KiB single,4096,1,16973690,18154870,2097152,0.9349386693487753,-0.06727434612423354
0,ab,1,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,4 KiB single,4096,1,16329730,16607960,2097152,0.9832471899017098,-0.01689472564357772
0,ab,2,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,4 KiB single,4096,1,16584970,16766130,2097152,0.9891948827785542,-0.010863916439083158
0,ab,3,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,4 KiB single,4096,1,16714730,16436440,2097152,1.0169312819564333,0.016789545419138234
0,ab,4,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,4 KiB single,4096,1,16330269,17824880,2097152,0.9161502910538528,-0.08757485456364655
0,ab,5,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,4 KiB single,4096,1,15562219,15514150,2097152,1.0030983972695893,0.0030936071287248753
0,ab,0,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,64 KiB single,65536,1,17986790,16513499,2097152,1.0892173730110135,0.08545943193908248
0,ab,1,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,64 KiB single,65536,1,16443691,16087560,2097152,1.0221370425347287,0.021895575291651606
0,ab,2,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,64 KiB single,65536,1,15541440,14481740,2097152,1.073174908539996,0.07062145925501197
0,ab,3,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,64 KiB single,65536,1,15524110,15660900,2097152,0.9912655083679738,-0.0087728608914311
0,ab,4,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,64 KiB single,65536,1,15598140,15399370,2097152,1.012907670898225,0.012825076885832601
0,ab,5,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,64 KiB single,65536,1,15197450,14906089,2097152,1.0195464417259283,0.019357863428812655
0,ab,0,gemma-3,4667f2089529e8e7657cfb6d1c19910ae71ff5f28aa7ab2ff2763330affad795,flat-ragged,140-byte batch 1,140,1,123730448,113632848,2097200,1.0888616291655384,0.08513277358712837
0,ab,1,gemma-3,4667f2089529e8e7657cfb6d1c19910ae71ff5f28aa7ab2ff2763330affad795,flat-ragged,140-byte batch 1,140,1,113233698,108218709,2097200,1.0463412384636746,0.04529954424154379
