cycle,order,round,model,tokenizer_sha256,contract,shape,input_bytes,batch,parent_elapsed_ns,candidate_elapsed_ns,total_bytes,ratio,log_ratio
0,ab,0,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,140-byte batch 1,140,1,18884625,21393500,2097200,0.8827272302334821,-0.12473903863434485
0,ab,1,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,140-byte batch 1,140,1,17996250,19360709,2097200,0.9295243268208825,-0.073082300220264
0,ab,2,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,140-byte batch 1,140,1,18401375,17576667,2097200,1.046920613561149,0.04585310624498732
0,ab,3,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,140-byte batch 1,140,1,18033875,18307125,2097200,0.985074117317711,-0.01503839463305859
0,ab,4,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,140-byte batch 1,140,1,19059791,17725667,2097200,1.07526509439673,0.07256723061780078
0,ab,5,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,140-byte batch 1,140,1,17617250,17137750,2097200,1.0279791687940365,0.027594903008628772
0,ab,0,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,140-byte batch 32,140,32,16623000,20716250,2101120,0.8024135642309781,-0.22013113790229438
0,ab,1,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,140-byte batch 32,140,32,16895833,19401000,2101120,0.8708743363744137,-0.13825758765377358
0,ab,2,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,140-byte batch 32,140,32,16898875,17257542,2101120,0.9792167969227599,-0.021002213651060038
0,ab,3,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,140-byte batch 32,140,32,16803709,18183167,2101120,0.9241354380125311,-0.07889664014630919
0,ab,4,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,140-byte batch 32,140,32,16136458,19902625,2101120,0.8107703380835443,-0.20977044859156094
0,ab,5,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,140-byte batch 32,140,32,16498375,19821541,2101120,0.8323457293254848,-0.18350738441911763
0,ab,0,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,140-byte batch 512,140,512,7123208,7832709,2150400,0.9094181846919118,-0.09495024142881164
0,ab,1,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,140-byte batch 512,140,512,7067750,7024666,2150400,1.0061332453386396,0.006114513541567175
0,ab,2,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,140-byte batch 512,140,512,6522083,6961875,2150400,0.9368285124337912,-0.06525503117354628
0,ab,3,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,140-byte batch 512,140,512,8528625,6654875,2150400,1.281560510152332,0.24807848392989823
0,ab,4,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,140-byte batch 512,140,512,6598666,6580958,2150400,1.0026907936504077,0.0026871799462098622
0,ab,5,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,140-byte batch 512,140,512,7145792,7489292,2150400,0.9541345163201007,-0.046950615041787686
0,ab,0,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,4 KiB single,4096,1,14341750,14158833,2097152,1.0129189319486995,0.01283619437284639
0,ab,1,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,4 KiB single,4096,1,14674375,14303416,2097152,1.0259349934309399,0.025604385512193593
0,ab,2,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,4 KiB single,4096,1,14296541,15807125,2097152,0.9044365120159422,-0.10044316785857549
