Filesystem      Size  Used Avail Use% Mounted on
none            8.0E   16K  8.0E   1% /
none            126G     0  126G   0% /dev
none             16G     0   16G   0% /dev/shm
none            126G     0  126G   0% /sys/fs/cgroup
none            512G  1.9M  512G   1% /__modal/mounts
none             64G   13G   52G  19% /etc/resolv.conf
none            512G  1.9M  512G   1% /run/modal_daemon
none             64G   13G   52G  19% /__modal/.debug_shell
none            512G  1.9M  512G   1% /__modal/.task-startup
none            4.0K     0  4.0K   0% /sys/devices/virtual/dmi
none            512G  1.9M  512G   1% /__modal/.container-arguments
